Unnamed: 0,Unnamed: 0.1,url_meeting,url,paragraph_number,paragraph,corridor,daily,Year,Month,Conference,Location,Link,Dailies?,COMMENTS,institution,mentioned_countries
7,7,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,7,"The Panel elects its Bureau for the duration of a full assessment cycle, which includes the preparation of an IPCC assessment report that takes between five and seven years and any other special reports or technical papers that are published during that cycle. The Bureau is composed of climate change experts representing all regions, and includes the IPCC Chair and Vice-Chairs, WG Co-Chairs and Vice-Chairs, and TFI Co-Chairs. The IPCC has a permanent Secretariat, which is based in Geneva, Switzerland, and is hosted by the WMO. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Switzerland']
14,14,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,14,"IPCC-41 to IPCC-43: IPCC-41 (24-27 February 2015, Nairobi, Kenya) adopted decisions relevant to the AR6 cycle. IPCC-42 (5-8 October 2015, Dubrovnik, Croatia) elected Bureau members for the AR6 cycle. IPCC-43 (11-13 April 2016, Nairobi, Kenya) agreed to undertake two special reports (SRCCL and SROCC) and the 2019 Refinement during AR6, and, in response to an invitation from the 21st session of the Conference of the Parties to the UNFCCC, to prepare a special report on the impacts of limiting global warming of 1.5°C above pre-industrial levels (SR1.5). The Panel also agreed that a special report on cities would be prepared as part of the AR7 cycle. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,"['Croatia', 'Kenya']"
15,15,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,15,"IPCC-44: During this session (17-21 October 2016, Bangkok, Thailand), the Panel adopted outlines for SR1.5 and the 2019 Refinement, as well as decisions on, inter alia, a meeting on climate change and cities. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Thailand']
16,16,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,16,"IPCC Cities and Climate Change Science Conference: This meeting (5-7 March 2018, Edmonton, Canada) produced a research agenda to better understand climate change impacts on cities and the critical role local authorities can play in addressing climate change. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Canada']
17,17,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,17,"IPCC-45 to IPCC-47: IPCC-45 (28-31 March 2017, Guadalajara, Mexico) approved the SRCCL and SROCC outlines, and discussed, inter alia: the strategic planning schedule for the AR6 cycle; a proposal to consider short-lived climate forcers (SLCFs); and resourcing options for the IPCC. IPCC-46 (6-10 September 2017, Montreal, Canada) approved the chapter outlines for the three WG contributions to AR6. During IPCC-47 (13-16 March 2018, Paris, France), the Panel agreed to, inter alia, establish a Task Group on Gender and draft terms of reference for a task group on the organization of the future work of the IPCC in light of the Global Stocktake under the Paris Agreement. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,"['France', 'Mexico', 'Canada']"
19,19,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,19,"IPCC-49: During this session (8-12 May 2019, Kyoto, Japan), the IPCC adopted the Overview Chapter of the 2019 Refinement and accepted the underlying report. IPCC-49 also adopted decisions on the terms of reference for the Task Group on Gender and on a methodological report on SLCFs to be completed during the AR7 cycle. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Japan']
20,20,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,20,"IPCC-50: During this session (2-7 August 2019, Geneva, Switzerland), the IPCC accepted the SRCCL and its Technical Summary and approved its SPM. A Joint Session of the three WGs, in cooperation with the TFI, considered the SPM line by line to reach agreement. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Switzerland']
21,21,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,21,"IPCC-51: This session (20-24 September 2019, Monaco) accepted the SROCC and its Technical Summary, and approved its SPM, following line-by-line approval by a Joint Session of WGs I and II. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Monaco']
22,22,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,22,"IPCC-52: During this session (24-28 February 2020, Paris, France), the IPCC adopted the outline for the AR6 SYR, containing a stage-setting introduction and three sections: current status and trends; long-term climate and development futures; and near-term responses in a changing climate. The Panel also adopted the IPCC Gender Policy and Implementation Plan, which, among other things, establishes a Gender Action Team.",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['France']
28,28,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II-summary,28,"UNEP Executive Director Inger Andersen noted the IPCC’s work underpins all climate action. She stressed that acknowledging the science and evidence is only the first step, and highlighted that UNEP’s Adaptation Gap Report 2021 shows the increase in impacts far outpaces efforts to adapt. Bettina Stark-Watzinger, German Federal Minister of Education and Research, outlined her country’s support for the IPCC and its climate action both in Germany and abroad. She called on other governments to support climate research beyond their borders. ",0,False,2022,February,IPCC 55,Online,https://enb.iisd.org/55th-session-intergovernmental-panel-climate-change-ipcc-55-12th-session-working-group-II,n,,IPCC,['Germany']
